49,	bigcrush,	sknuth__MaxOft,			49,	None,		27000000000
50,	bigcrush,	svaria__SampleProd,		50,	None,		14000000000
51,	bigcrush,	svaria__SampleProd,		51,	None,		14000000000
52,	bigcrush,	svaria__SampleProd,		52,	None,		21000000000
53,	bigcrush,	svaria__SampleMean,		53,	None,		2600000000
54,	bigcrush,	svaria__SampleMean,		54,	None,		2600000000
55,	bigcrush,	svaria__SampleCorr,		55,	None,		8200000000
56,	bigcrush,	svaria__SampleCorr,		56,	None,		8200000000
57,	bigcrush,	svaria__AppearanceSpacings,	57,	None,		22000000000
58,	bigcrush,	svaria__AppearanceSpacings,	58,	None,		22000000000
59,	bigcrush,	svaria__WeightDistrib,		59,	None,		22000000000
60,	bigcrush,	svaria__WeightDistrib,		60,	None,		22000000000
61,	bigcrush,	svaria__WeightDistrib,		61,	None,		22000000000
62,	bigcrush,	svaria__WeightDistrib,		62,	None,		22000000000
63,	bigcrush,	svaria__WeightDistrib,		63,	None,		22000000000
64,	bigcrush,	svaria__WeightDistrib,		64,	None,		22000000000
65,	bigcrush,	svaria__SumCollector,		65,	None,		43000000000
66,	bigcrush,	smarsa__MatrixRank,		66,	None,		7400000000
67,	bigcrush,	smarsa__MatrixRank,		67,	None,		7400000000
68,	bigcrush,	smarsa__MatrixRank,		68,	None,		5200000000
69,	bigcrush,	smarsa__MatrixRank,		69,	None,		5200000000
70,	bigcrush,	smarsa__MatrixRank,		70,	None,		550000000
71,	bigcrush,	smarsa__MatrixRank,		71,	None,		290000000
72,	bigcrush,	smarsa__Savir2,			72,	None,		14000000000
73,	bigcrush,	smarsa__GCD,			73,	None,		4200000000
74,	bigcrush,	swalk__RandomWalk1,		74,	None,		4200000000
75,	bigcrush,	swalk__RandomWalk1,		75,	None,		4200000000
76,	bigcrush,	swalk__RandomWalk1,		76,	None,		4200000000
77,	bigcrush,	swalk__RandomWalk1,		77,	None,		4200000000
78,	bigcrush,	swalk__RandomWalk1,		78,	None,		2800000000
79,	bigcrush,	swalk__RandomWalk1,		79,	None,		2800000000
80,	bigcrush,	scomp__LinearComp,		80,	None,		12000000
81,	bigcrush,	scomp__LinearComp,		81,	None,		12000000
82,	bigcrush,	scomp__LempelZiv,		82,	None,		200000000
83,	bigcrush,	scomp__LempelZiv,		83,	None,		380000000
84,	bigcrush,	sspectral__Fourier3,		84,	None,		2300000000
85,	bigcrush,	sspectral__Fourier3,		85,	None,		2300000000
